location,date,zika_confirmed,density_per_km,location_type,country,latitude,longitude,mosquito_dist,max_temp,mean_temp,min_temp,dew_point,precipitation,wind,gdp
Brazil-Mato_Grosso_do_Sul,2016-02-13,1,14.969072341918945,province,Brazil,-20.7722295,-54.785153099999995,347.2401463813405,32.0,27.0,22.0,21.0,1.01,9.0,1793.1
Brazil-Minas_Gerais,2016-02-13,1,1.631079912185669,province,Brazil,-18.512178,-44.5550308,370.272749327368,30.0,25.0,19.0,17.0,0.0,8.0,1793.1
Brazil-Para,2016-02-13,1,12.257213592529295,province,Brazil,-1.9981271,-54.9306152,56.542841565508816,31.0,28.0,25.0,24.0,0.0,14.0,1793.1
Brazil-Paraiba,2016-02-13,1,4.566781044006348,province,Brazil,-7.239960900000002,-36.7819505,166.49646991705768,30.0,26.0,21.0,20.0,0.0,11.0,1793.1
Brazil-Parana,2016-02-13,1,3.277939558029175,province,Brazil,-25.2520888,-52.0215415,249.35914917417097,31.0,26.0,21.0,21.0,0.0,23.0,1793.1
Brazil-Pernambuco,2016-02-13,1,6.583462238311768,province,Brazil,-8.8137173,-36.954107,220.9600185386386,31.0,27.0,22.0,23.0,6.85,9.0,1793.1
Brazil-Piaui,2016-02-13,1,6.1737422943115225,province,Brazil,-7.718340100000002,-42.72892359999999,182.0038980485361,34.0,30.0,25.0,23.0,0.51,7.0,1793.1
Brazil-Rio_Grande_do_Norte,2016-02-13,1,4.769876003265381,province,Brazil,-5.402580299999999,-36.954107,115.44469854589614,35.0,31.0,27.0,23.0,0.0,12.0,1793.1
Brazil-Rio_Grande_do_Sul,2016-02-13,1,14425.5654296875,province,Brazil,-30.0346316,-51.217698600000006,190.69069857543718,32.0,28.0,23.0,22.0,8.13,13.0,1793.1
Brazil-Rio_de_Janeiro,2016-02-13,1,1505.10546875,province,Brazil,-22.9068467,-43.1728965,300.9240816846019,32.0,28.0,24.0,23.0,0.0,10.0,1793.1
Brazil-Rondonia,2016-02-13,1,0.002929881447926164,province,Brazil,-11.5057341,-63.580611,337.09066960980556,34.0,29.0,26.0,24.0,0.0,7.0,1793.1
Brazil-Roraima,2016-02-13,1,0.3885240852832794,province,Brazil,2.7375971000000003,-62.075099800000004,19.85668472185682,31.0,27.0,23.0,19.0,3.3,18.0,1793.1
Brazil-Santa_Catarina,2016-02-13,1,1.2347524166107178,province,Brazil,-27.2423392,-50.218855600000005,217.41335340771332,31.0,26.0,21.5,19.0,1.65,14.5,1793.1
Brazil-Sao_Paulo,2016-02-13,1,15765.923828125,province,Brazil,-23.550519899999998,-46.63330939999999,287.54516249059213,31.0,25.0,20.0,19.0,0.0,11.0,1793.1
Brazil-Sergipe,2016-02-13,1,105.86270141601562,province,Brazil,-10.5740934,-37.3856581,293.6206359638471,30.0,28.0,26.0,23.0,0.0,15.0,1793.1
Brazil-Tocantins,2016-02-13,1,815.6812133789062,province,Brazil,-10.17528,-48.2982474,276.0733461568,35.0,29.0,23.0,21.0,0.0,6.0,1793.1
Colombia-Amazonas-El_Encanto,2016-01-09,0,0.724845290184021,city,Colombia,-1.747214,-73.209136,54.036048523591994,88.78,78.65,68.91,69.17,4.9608,3.0,280.0
